Column,Dtype,Non-Null Count,Missing Count,Missing %
koi_gmag_err,float64,0,9564,100.0
koi_imag_err,float64,0,9564,100.0
koi_zmag_err,float64,0,9564,100.0
koi_rmag_err,float64,0,9564,100.0
koi_kepmag_err,float64,0,9564,100.0
koi_longp_err2,float64,0,9564,100.0
koi_sage_err2,float64,0,9564,100.0
koi_sage_err1,float64,0,9564,100.0
koi_sage,float64,0,9564,100.0
koi_sma_err1,float64,0,9564,100.0
koi_sma_err2,float64,0,9564,100.0
koi_ingress_err1,float64,0,9564,100.0
koi_ingress,float64,0,9564,100.0
koi_ingress_err2,float64,0,9564,100.0
koi_incl_err2,float64,0,9564,100.0
koi_teq_err1,float64,0,9564,100.0
koi_teq_err2,float64,0,9564,100.0
koi_incl_err1,float64,0,9564,100.0
koi_model_dof,float64,0,9564,100.0
koi_eccen_err1,float64,0,9564,100.0
koi_model_chisq,float64,0,9564,100.0
koi_longp,float64,0,9564,100.0
koi_longp_err1,float64,0,9564,100.0
koi_eccen_err2,float64,0,9564,100.0
kepler_name,str,2747,6817,71.28
koi_score,float64,8054,1510,15.79
koi_bin_oedp_sig,float64,8054,1510,15.79
koi_comment,str,8355,1209,12.64
koi_num_transits,float64,8422,1142,11.94
koi_max_sngle_ev,float64,8422,1142,11.94
koi_quarters,object,8422,1142,11.94
koi_max_mult_ev,float64,8422,1142,11.94
koi_fwm_stat_sig,float64,8488,1076,11.25
koi_fwm_prao_err,float64,8734,830,8.68
koi_fwm_prao,float64,8734,830,8.68
koi_fwm_pdeco_err,float64,8747,817,8.54
koi_fwm_pdeco,float64,8747,817,8.54
koi_zmag,float64,8951,613,6.41
koi_dicco_mdec,float64,8965,599,6.26
koi_dicco_msky,float64,8965,599,6.26
koi_dicco_mra_err,float64,8965,599,6.26
koi_dicco_mra,float64,8965,599,6.26
koi_dicco_mdec_err,float64,8965,599,6.26
koi_dicco_msky_err,float64,8965,599,6.26
koi_dikco_msky_err,float64,8994,570,5.96
koi_dikco_msky,float64,8994,570,5.96
koi_dikco_mra_err,float64,8994,570,5.96
koi_dikco_mdec_err,float64,8994,570,5.96
koi_dikco_mdec,float64,8994,570,5.96
koi_dikco_mra,float64,8994,570,5.96
koi_fwm_sra_err,float64,9058,506,5.29
koi_fwm_sdec,float64,9058,506,5.29
koi_fwm_sdec_err,float64,9058,506,5.29
koi_fwm_sra,float64,9058,506,5.29
koi_steff_err2,float64,9081,483,5.05
koi_slogg_err1,float64,9096,468,4.89
koi_slogg_err2,float64,9096,468,4.89
koi_srad_err2,float64,9096,468,4.89
koi_smass_err1,float64,9096,468,4.89
koi_srad_err1,float64,9096,468,4.89
koi_smass_err2,float64,9096,468,4.89
koi_steff_err1,float64,9096,468,4.89
koi_fwm_sdeco,float64,9109,455,4.76
koi_fwm_sdeco_err,float64,9109,455,4.76
koi_fwm_srao_err,float64,9109,455,4.76
koi_fwm_srao,float64,9109,455,4.76
koi_duration_err1,float64,9110,454,4.75
koi_dor_err2,float64,9110,454,4.75
koi_period_err1,float64,9110,454,4.75
koi_impact_err2,float64,9110,454,4.75
koi_impact_err1,float64,9110,454,4.75
koi_duration_err2,float64,9110,454,4.75
koi_depth_err2,float64,9110,454,4.75
koi_period_err2,float64,9110,454,4.75
koi_time0_err1,float64,9110,454,4.75
koi_time0bk_err2,float64,9110,454,4.75
koi_time0bk_err1,float64,9110,454,4.75
koi_time0_err2,float64,9110,454,4.75
koi_depth_err1,float64,9110,454,4.75
koi_dor_err1,float64,9110,454,4.75
koi_smet_err1,float64,9177,387,4.05
koi_smet_err2,float64,9177,387,4.05
koi_smet,float64,9178,386,4.04
koi_incl,float64,9200,364,3.81
koi_prad,float64,9201,363,3.8
koi_ldm_coeff3,float64,9201,363,3.8
koi_impact,float64,9201,363,3.8
koi_steff,float64,9201,363,3.8
koi_teq,float64,9201,363,3.8
koi_depth,float64,9201,363,3.8
koi_slogg,float64,9201,363,3.8
koi_smass,float64,9201,363,3.8
koi_sparprov,str,9201,363,3.8
koi_srad,float64,9201,363,3.8
koi_trans_mod,str,9201,363,3.8
koi_ldm_coeff2,float64,9201,363,3.8
koi_ldm_coeff1,float64,9201,363,3.8
koi_sma,float64,9201,363,3.8
koi_prad_err1,float64,9201,363,3.8
koi_ldm_coeff4,float64,9201,363,3.8
koi_limbdark_mod,str,9201,363,3.8
koi_ror_err2,float64,9201,363,3.8
koi_ror_err1,float64,9201,363,3.8
koi_ror,float64,9201,363,3.8
koi_dor,float64,9201,363,3.8
koi_prad_err2,float64,9201,363,3.8
koi_eccen,float64,9201,363,3.8
koi_model_snr,float64,9201,363,3.8
koi_datalink_dvs,str,9218,346,3.62
koi_datalink_dvr,str,9218,346,3.62
koi_tce_delivname,str,9218,346,3.62
koi_tce_plnt_num,float64,9218,346,3.62
koi_srho_err2,float64,9243,321,3.36
koi_insol_err1,float64,9243,321,3.36
koi_insol_err2,float64,9243,321,3.36
koi_insol,float64,9243,321,3.36
koi_srho_err1,float64,9243,321,3.36
koi_srho,float64,9243,321,3.36
koi_kmag_err,float64,9371,193,2.02
koi_imag,float64,9410,154,1.61
koi_hmag_err,float64,9467,97,1.01
koi_jmag_err,float64,9492,72,0.75
koi_gmag,float64,9523,41,0.43
koi_hmag,float64,9539,25,0.26
koi_kmag,float64,9539,25,0.26
koi_jmag,float64,9539,25,0.26
koi_rmag,float64,9555,9,0.09
koi_kepmag,float64,9563,1,0.01
dec_str,str,9564,0,0.0
kepid,int64,9564,0,0.0
kepoi_name,str,9564,0,0.0
ra,float64,9564,0,0.0
ra_err,float64,9564,0,0.0
ra_str,str,9564,0,0.0
dec,float64,9564,0,0.0
dec_err,float64,9564,0,0.0
koi_time0bk,float64,9564,0,0.0
koi_duration,float64,9564,0,0.0
koi_period,float64,9564,0,0.0
koi_disposition,str,9564,0,0.0
koi_delivname,str,9564,0,0.0
koi_pdisposition,str,9564,0,0.0
koi_vet_stat,str,9564,0,0.0
koi_count,int64,9564,0,0.0
koi_vet_date,str,9564,0,0.0
koi_parm_prov,str,9564,0,0.0
koi_disp_prov,str,9564,0,0.0
koi_fpflag_ec,int64,9564,0,0.0
koi_fpflag_nt,int64,9564,0,0.0
koi_time0,float64,9564,0,0.0
koi_fpflag_co,int64,9564,0,0.0
koi_fpflag_ss,int64,9564,0,0.0
koi_fittype,str,9564,0,0.0
